IDX,Applicant_ID,Total_Experience,Total_Experience_in_field_applied,Department,Role,Industry,Organization,Designation,Education,Graduation_Specialization,University_Grad,Passing_Year_Of_Graduation,PG_Specialization,University_PG,Passing_Year_Of_PG,PHD_Specialization,University_PHD,Passing_Year_Of_PHD,Curent_Location,Preferred_location,Current_CTC,Inhand_Offer,Last_Appraisal_Rating,No_Of_Companies_worked,Number_of_Publications,Certifications,International_degree_any,Expected_CTC
18,14662,21,7,Healthcare,Research Scientist,BFSI,G,Product Manager,Doctorate,Sociology,Lucknow,1990.0,Others,Lucknow,1992.0,Botony,Delhi,1999.0,Surat,Chennai,3495505,N,B,4,4,0,0,4718931
20,48945,8,3,Engineering,Consultant,Telecom,O,Manager,Doctorate,Engineering,Delhi,2004.0,Engineering,Delhi,2006.0,Engineering,Kolkata,2012.0,Surat,Bhubaneswar,2149333,N,C,3,3,0,0,2669471
21,39333,17,12,HR,Others,Training,M,Medical Officer,Grad,Arts,Ahmedabad,1997.0,Arts,Ahmedabad,1999.0,Arts,Mangalore,2003.0,Nagpur,Pune,2573882,N,D,4,3,0,0,2959964
24,32375,15,10,Sales,Head,Insurance,N,Research Scientist,Grad,Botony,Jaipur,1999.0,Others,Jaipur,2001.0,Arts,Delhi,2005.0,Pune,Surat,2227905,N,B,2,7,0,0,2784881
25,26442,3,2,Banking,Associate,Aviation,A,Data Analyst,Doctorate,Statistics,Mumbai,2011.0,Statistics,Mumbai,2013.0,Statistics,Mangalore,2017.0,Guwahati,Mangalore,954597,Y,B,3,8,0,0,1336435
26,37263,21,20,Analytics/BI,Consultant,IT,J,Data Analyst,PG,Economics,Kolkata,1993.0,Economics,Kolkata,1995.0,Economics,Surat,1999.0,Ahmedabad,Kolkata,3559515,Y,Key_Performer,3,4,2,0,4698559
27,25517,5,4,Engineering,Consultant,Training,N,Assistant Manager,Grad,Chemistry,Delhi,2009.0,Chemistry,Delhi,2011.0,Chemistry,Kolkata,2015.0,Mumbai,Ahmedabad,525425,N,B,2,4,4,0,656781
28,48034,24,7,Analytics/BI,Analyst,Others,G,Product Manager,Grad,Statistics,Mangalore,1989.0,Others,Mangalore,1991.0,Mathematics,Lucknow,1996.0,Kanpur,Ahmedabad,2485496,Y,D,4,7,0,0,2926920
30,43667,21,0,Healthcare,Head,IT,B,Data Analyst,Doctorate,Botony,Guwahati,1991.0,Botony,Guwahati,1993.0,Botony,Bhubaneswar,1999.0,Nagpur,Nagpur,2230602,N,C,3,8,0,1,2770407
32,43881,2,0,Banking,Sales Manager,FMCG,I,Manager,Grad,Zoology,Pune,2012.0,Zoology,Pune,2014.0,Zoology,Guwahati,2018.0,Pune,Surat,462225,N,A,3,8,0,0,577781
34,16935,13,9,Healthcare,Analyst,Automobile,E,Others,PG,Others,Lucknow,2000.0,Chemistry,Lucknow,2002.0,Others,Pune,2007.0,Mumbai,Jaipur,2312085,Y,Key_Performer,2,8,1,0,3051952
35,14200,16,10,IT-Software,Consultant,Retail,K,Web Designer,Grad,Mathematics,Pune,1997.0,Others,Pune,1999.0,Mathematics,Delhi,2004.0,Guwahati,Lucknow,2449021,N,A,2,5,0,0,3061276
36,42405,12,12,Sales,Analyst,Insurance,P,Assistant Manager,Doctorate,Engineering,Ahmedabad,2002.0,Engineering,Ahmedabad,2004.0,Others,Delhi,2008.0,Jaipur,Lucknow,2458995,Y,Key_Performer,3,8,0,0,3442593
38,22973,12,5,Banking,Project Manager,FMCG,P,Marketing Manager,PG,Mathematics,Bangalore,2001.0,Mathematics,Bangalore,2003.0,Mathematics,Bhubaneswar,2008.0,Bhubaneswar,Bangalore,1462196,N,C,4,7,1,0,1748786
40,19243,25,6,Accounts,Analyst,FMCG,A,Consultant,PG,Engineering,Ahmedabad,1988.0,Engineering,Ahmedabad,1990.0,Others,Mangalore,1995.0,Bhubaneswar,Lucknow,1792177,N,C,4,8,0,0,2143443
43,37297,8,2,Engineering,Scientist,Analytics,N,Web Designer,Grad,Chemistry,Jaipur,2005.0,Chemistry,Jaipur,2007.0,Chemistry,Mumbai,2012.0,Kanpur,Mumbai,1141979,Y,A,3,7,3,0,1520202
46,59337,25,25,Sales,Sales Execituve,Aviation,H,Sr.Manager,Grad,Engineering,Mumbai,1989.0,Engineering,Mumbai,1991.0,Engineering,Nagpur,1995.0,Delhi,Kanpur,2576903,Y,Key_Performer,3,6,0,0,3298435
47,46148,22,13,Marketing,Sales Manager,Retail,J,Marketing Manager,Grad,Economics,Ahmedabad,1991.0,Others,Ahmedabad,1993.0,Zoology,Delhi,1998.0,Mumbai,Bhubaneswar,2457436,Y,Key_Performer,2,3,0,0,3145518
48,38831,6,5,Accounts,Financial Analyst,BFSI,K,Web Designer,Grad,Economics,Ahmedabad,2008.0,Economics,Ahmedabad,2010.0,Economics,Mumbai,2014.0,Kolkata,Mumbai,558517,N,A,6,3,2,0,726072
50,10066,2,2,Marketing,Sales Manager,Training,K,Assistant Manager,Grad,Mathematics,Surat,2011.0,Mathematics,Surat,2013.0,Mathematics,Nagpur,2018.0,Lucknow,Jaipur,527444,N,A,3,8,4,0,659305
51,57153,11,3,Education,Financial Analyst,IT,H,Marketing Manager,PG,Chemistry,Kolkata,2003.0,Others,Kolkata,2005.0,Others,Guwahati,2009.0,Guwahati,Lucknow,1746890,Y,Key_Performer,4,6,1,0,2305894
56,55421,22,1,Banking,CEO,Training,N,Product Manager,PG,Others,Lucknow,1991.0,Others,Lucknow,1993.0,Arts,Lucknow,1998.0,Jaipur,Pune,2429640,N,C,2,8,1,0,2905849
58,18229,15,1,Analytics/BI,Others,Training,N,Consultant,PG,Engineering,Nagpur,1996.0,Engineering,Nagpur,1998.0,Engineering,Bangalore,2005.0,Mumbai,Ahmedabad,2240109,N,C,2,8,2,0,2679170
59,21955,4,0,Marketing,Financial Analyst,IT,H,Research Analyst,PG,Statistics,Surat,2008.0,Statistics,Surat,2010.0,Statistics,Mumbai,2016.0,Kanpur,Mangalore,951747,Y,B,5,5,1,0,1256306
60,35606,2,0,Marketing,Bio statistician,BFSI,C,CA,Grad,Statistics,Kolkata,2010.0,Statistics,Kolkata,2012.0,Statistics,Jaipur,2018.0,Ahmedabad,Surat,513471,N,B,3,3,0,0,641838
61,24730,13,12,Education,Business Analyst,Analytics,M,CA,PG,Economics,Kolkata,2000.0,Economics,Kolkata,2002.0,Economics,Ahmedabad,2007.0,Pune,Ahmedabad,1546266,N,B,2,8,1,0,2010145
63,28986,5,3,Marketing,Team Lead,Telecom,N,Product Manager,Grad,Mathematics,Surat,2008.0,Mathematics,Surat,2010.0,Mathematics,Lucknow,2015.0,Ahmedabad,Kolkata,500687,Y,C,6,6,0,0,589609
64,30142,22,5,IT-Software,Consultant,Automobile,M,Software Developer,PG,Others,Ahmedabad,1991.0,Mathematics,Ahmedabad,1993.0,Chemistry,Jaipur,1998.0,Kanpur,Mangalore,3748584,Y,Key_Performer,5,5,0,0,4948130
68,57184,24,8,HR,Project Manager,Aviation,K,Consultant,Doctorate,Others,Surat,1989.0,Zoology,Surat,1991.0,Sociology,Ahmedabad,1996.0,Kanpur,Kolkata,2452799,N,D,4,5,0,0,3046376
72,16917,16,9,Analytics/BI,Others,FMCG,A,Medical Officer,PG,Sociology,Kolkata,1998.0,Sociology,Kolkata,2000.0,Others,Pune,2004.0,Kolkata,Lucknow,2631776,N,B,3,3,0,0,3421308
73,40136,23,23,Others,Analyst,IT,C,Marketing Manager,Grad,Chemistry,Ahmedabad,1989.0,Chemistry,Ahmedabad,1991.0,Others,Surat,1997.0,Pune,Kanpur,2544577,Y,C,4,8,0,0,2996493
74,48595,9,9,IT-Software,Principal Analyst,FMCG,M,HR,PG,Chemistry,Ahmedabad,2002.0,Chemistry,Ahmedabad,2004.0,Chemistry,Surat,2011.0,Guwahati,Chennai,1373725,Y,Key_Performer,4,4,1,0,1813317
75,46881,15,10,Accounts,Analyst,Automobile,C,HR,PG,Engineering,Nagpur,1997.0,Engineering,Nagpur,1999.0,Engineering,Mumbai,2005.0,Kolkata,Pune,1765033,N,B,4,7,1,0,2294542
76,56390,25,9,Accounts,Bio statistician,BFSI,N,Consultant,Grad,Mathematics,Bhubaneswar,1986.0,Mathematics,Bhubaneswar,1988.0,Mathematics,Ahmedabad,1995.0,Pune,Mangalore,1424675,Y,C,4,8,0,0,1677697
78,47322,9,4,Sales,Scientist,Aviation,P,Others,PG,Economics,Ahmedabad,2004.0,Economics,Ahmedabad,2006.0,Economics,Delhi,2011.0,Kanpur,Delhi,1112326,N,A,3,5,1,0,1446023
80,55361,10,1,Top Management,Bio statistician,BFSI,I,Director,Grad,Statistics,Mangalore,2003.0,Statistics,Mangalore,2005.0,Statistics,Delhi,2010.0,Kolkata,Nagpur,1998929,Y,B,4,4,0,0,2558629
81,48977,3,1,Marketing,Consultant,Insurance,B,Software Developer,PG,Mathematics,Guwahati,2011.0,Others,Guwahati,2013.0,Botony,Delhi,2017.0,Surat,Surat,661906,Y,C,1,3,0,0,803818
82,15885,3,2,Analytics/BI,Analyst,Telecom,A,Research Analyst,Doctorate,Botony,Kolkata,2008.0,Others,Kolkata,2010.0,Arts,Kolkata,2017.0,Bangalore,Lucknow,1305809,Y,B,2,7,0,0,1828132
83,21381,23,17,Analytics/BI,Financial Analyst,Automobile,C,Director,PG,Statistics,Guwahati,1989.0,Statistics,Guwahati,1991.0,Statistics,Bhubaneswar,1997.0,Ahmedabad,Nagpur,3553425,Y,Key_Performer,4,3,1,0,4690521
84,52453,3,2,Analytics/BI,Data scientist,Aviation,N,Consultant,Grad,Psychology,Mangalore,2010.0,Psychology,Mangalore,2012.0,Psychology,Ahmedabad,2017.0,Kanpur,Mangalore,564283,N,D,1,4,0,0,648925
86,22122,8,6,Others,Scientist,IT,K,Product Manager,Grad,Statistics,Pune,2004.0,Statistics,Pune,2006.0,Statistics,Ahmedabad,2012.0,Bhubaneswar,Bhubaneswar,1306648,N,A,1,6,0,0,1698642
90,46403,14,3,Sales,Others,Insurance,E,Consultant,Grad,Engineering,Bangalore,2000.0,Engineering,Bangalore,2002.0,Engineering,Bangalore,2006.0,Jaipur,Chennai,1956077,Y,A,6,8,0,0,2503778
91,22105,4,2,Marketing,Associate,FMCG,P,Software Developer,Doctorate,Chemistry,Delhi,2007.0,Chemistry,Delhi,2009.0,Chemistry,Pune,2016.0,Kolkata,Mumbai,952604,N,C,2,6,0,0,1183134
92,57813,15,6,HR,Analyst,Retail,A,Director,PG,Others,Jaipur,1999.0,Mathematics,Jaipur,2001.0,Economics,Mangalore,2005.0,Mumbai,Lucknow,1465915,Y,D,6,3,0,0,1780207
94,16327,11,5,Education,Project Manager,Automobile,I,HR,Doctorate,Chemistry,Bangalore,2001.0,Chemistry,Bangalore,2003.0,Chemistry,Jaipur,2009.0,Nagpur,Pune,1979283,Y,D,6,6,0,0,2549316
97,45947,11,3,HR,Team Lead,IT,G,Director,Grad,Economics,Nagpur,2003.0,Economics,Nagpur,2005.0,Economics,Mumbai,2009.0,Ahmedabad,Mangalore,1863415,Y,D,3,6,0,0,2194357
98,22396,15,6,Banking,Financial Analyst,BFSI,I,CA,PG,Mathematics,Nagpur,1996.0,Mathematics,Nagpur,1998.0,Mathematics,Guwahati,2005.0,Delhi,Jaipur,2445297,Y,Key_Performer,4,4,4,0,3227792
101,45564,18,4,Sales,CEO,Aviation,E,CA,Grad,Mathematics,Delhi,1996.0,Mathematics,Delhi,1998.0,Mathematics,Ahmedabad,2002.0,Surat,Pune,2337632,N,A,5,8,0,0,2922040
102,41640,4,0,HR,Others,Training,O,Medical Officer,PG,Botony,Mangalore,2010.0,Botony,Mangalore,2012.0,Botony,Nagpur,2016.0,Bangalore,Delhi,861644,N,D,3,3,1,0,1030526
103,47054,5,1,Marketing,Sales Execituve,Automobile,K,Consultant,Grad,Zoology,Ahmedabad,2008.0,Zoology,Ahmedabad,2010.0,Zoology,Lucknow,2015.0,Surat,Bangalore,542398,N,C,2,4,0,0,623757
104,37780,19,5,Marketing,Sales Execituve,Analytics,F,Network Engineer,PG,Statistics,Jaipur,1992.0,Statistics,Jaipur,1994.0,Statistics,Bangalore,2001.0,Bangalore,Jaipur,3471444,Y,Key_Performer,6,7,3,0,4582306
110,26597,18,3,Marketing,Head,IT,A,Software Developer,Doctorate,Statistics,Guwahati,1995.0,Others,Guwahati,1997.0,Botony,Kolkata,2002.0,Guwahati,Kanpur,3686139,Y,Key_Performer,6,7,0,1,5160594
111,47044,5,5,Banking,Team Lead,Aviation,P,Director,Grad,Economics,Kolkata,2008.0,Economics,Kolkata,2010.0,Economics,Pune,2015.0,Kolkata,Pune,630062,Y,Key_Performer,5,7,0,0,838738
113,56393,16,15,IT-Software,Sales Execituve,FMCG,H,Assistant Manager,PG,Chemistry,Surat,1998.0,Chemistry,Surat,2000.0,Chemistry,Pune,2004.0,Mangalore,Ahmedabad,2300586,Y,C,6,4,1,0,2793831
116,53464,13,0,Analytics/BI,Financial Analyst,FMCG,J,Research Analyst,Doctorate,Mathematics,Ahmedabad,2000.0,Mathematics,Ahmedabad,2002.0,Mathematics,Pune,2007.0,Guwahati,Bhubaneswar,1668292,Y,Key_Performer,2,3,0,0,2335608
118,26152,5,2,HR,Consultant,Telecom,P,Product Manager,Grad,Zoology,Kolkata,2009.0,Zoology,Kolkata,2011.0,Zoology,Lucknow,2015.0,Chennai,Bhubaneswar,508534,N,B,1,3,0,0,635667
119,25809,18,13,Analytics/BI,Analyst,BFSI,L,Software Developer,Grad,Others,Surat,1995.0,Economics,Surat,1997.0,Others,Nagpur,2002.0,Lucknow,Delhi,2514589,Y,B,2,6,4,0,3218673
120,36971,6,0,Education,Bio statistician,BFSI,K,HR,PG,Sociology,Guwahati,2005.0,Sociology,Guwahati,2007.0,Sociology,Nagpur,2014.0,Nagpur,Mangalore,1000316,N,C,5,8,0,0,1196377
121,17855,12,9,Marketing,Financial Analyst,Aviation,L,Network Engineer,PG,Statistics,Mumbai,2001.0,Statistics,Mumbai,2003.0,Statistics,Delhi,2008.0,Pune,Ahmedabad,2307887,Y,Key_Performer,3,7,0,0,3046410
122,27307,13,2,Education,Consultant,Insurance,E,Product Manager,PG,Statistics,Bangalore,2000.0,Others,Bangalore,2002.0,Chemistry,Mumbai,2007.0,Kolkata,Ahmedabad,1489592,Y,A,2,5,1,0,1966261
123,18107,10,6,Engineering,Project Manager,BFSI,M,Research Analyst,Doctorate,Botony,Jaipur,2002.0,Botony,Jaipur,2004.0,Botony,Lucknow,2010.0,Nagpur,Bhubaneswar,1897846,N,A,2,8,0,0,2562092
124,56873,20,3,Education,Sales Manager,BFSI,F,Assistant Manager,PG,Botony,Jaipur,1993.0,Botony,Jaipur,1995.0,Others,Mumbai,2000.0,Surat,Jaipur,2119193,Y,Key_Performer,4,6,1,0,2797334
126,27943,10,8,Analytics/BI,Senior Researcher,Insurance,I,Sr.Manager,Doctorate,Arts,Bangalore,2002.0,Arts,Bangalore,2004.0,Arts,Jaipur,2010.0,Jaipur,Pune,1715332,N,A,1,4,0,0,2315698
130,11972,21,9,Banking,Head,Aviation,M,Manager,Grad,Chemistry,Nagpur,1992.0,Chemistry,Nagpur,1994.0,Chemistry,Bangalore,1999.0,Bangalore,Guwahati,2490503,Y,Key_Performer,4,8,0,1,3187843
131,15623,10,8,Sales,Financial Analyst,Aviation,I,Consultant,Grad,Engineering,Kolkata,2004.0,Engineering,Kolkata,2006.0,Engineering,Mumbai,2010.0,Bangalore,Guwahati,1917907,Y,Key_Performer,4,5,0,0,2454920
137,22188,7,2,Marketing,Team Lead,IT,E,Product Manager,Doctorate,Chemistry,Delhi,2004.0,Chemistry,Delhi,2006.0,Chemistry,Surat,2013.0,Nagpur,Lucknow,2026214,Y,Key_Performer,6,8,0,0,2950167
138,41782,10,6,HR,Head,BFSI,F,Web Designer,Doctorate,Engineering,Ahmedabad,2001.0,Engineering,Ahmedabad,2003.0,Engineering,Kolkata,2010.0,Bangalore,Kanpur,1913744,N,B,1,3,0,0,2583554
139,11210,8,6,Engineering,Sales Manager,Training,F,HR,Doctorate,Economics,Delhi,2005.0,Economics,Delhi,2007.0,Economics,Nagpur,2012.0,Lucknow,Kanpur,2130454,N,D,1,8,0,0,2646023
140,52808,8,7,IT-Software,Project Manager,Others,F,HR,Doctorate,Statistics,Bhubaneswar,2006.0,Statistics,Bhubaneswar,2008.0,Statistics,Kolkata,2012.0,Kanpur,Mumbai,1614706,Y,A,3,6,0,0,2351011
145,16323,24,18,Banking,Business Analyst,Insurance,E,Software Developer,PG,Engineering,Jaipur,1990.0,Engineering,Jaipur,1992.0,Engineering,Kolkata,1996.0,Lucknow,Chennai,3209344,Y,D,6,8,0,0,3897427
146,52042,23,23,IT-Software,Consultant,IT,D,Network Engineer,Doctorate,Engineering,Kolkata,1990.0,Engineering,Kolkata,1992.0,Engineering,Mangalore,1997.0,Mangalore,Delhi,2445616,N,B,5,3,0,0,3301581
147,57646,16,2,Healthcare,Analyst,Training,J,Others,Doctorate,Engineering,Surat,1996.0,Engineering,Surat,1998.0,Engineering,Mangalore,2004.0,Kanpur,Guwahati,2731289,N,D,3,5,0,0,3392260
149,11599,25,6,Analytics/BI,Senior Researcher,Telecom,B,Research Scientist,Grad,Zoology,Mangalore,1988.0,Zoology,Mangalore,1990.0,Zoology,Kolkata,1995.0,Guwahati,Surat,2555671,N,B,6,6,0,0,3194588
153,25714,21,15,HR,Sales Manager,Others,B,Marketing Manager,Doctorate,Sociology,Bangalore,1991.0,Sociology,Bangalore,1993.0,Others,Nagpur,1999.0,Bhubaneswar,Mumbai,3619506,N,C,3,7,0,0,4495426
154,42654,5,3,Education,Financial Analyst,Training,K,Web Designer,Grad,Chemistry,Ahmedabad,2009.0,Chemistry,Ahmedabad,2011.0,Chemistry,Ahmedabad,2015.0,Bhubaneswar,Ahmedabad,581484,N,B,3,4,0,0,726855
159,41698,21,11,IT-Software,Analyst,Analytics,L,HR,Grad,Statistics,Ahmedabad,1990.0,Statistics,Ahmedabad,1992.0,Statistics,Mumbai,1999.0,Ahmedabad,Bhubaneswar,2414980,Y,C,6,4,0,0,2843880
161,42192,20,2,Marketing,CEO,BFSI,E,Others,PG,Chemistry,Pune,1991.0,Chemistry,Pune,1993.0,Chemistry,Mangalore,2000.0,Lucknow,Mangalore,2431197,Y,B,4,3,0,0,3209180
163,54255,12,0,Analytics/BI,Analyst,Automobile,J,Web Designer,PG,Statistics,Delhi,1999.0,Statistics,Delhi,2001.0,Statistics,Bhubaneswar,2008.0,Bangalore,Chennai,1976777,Y,D,5,3,1,0,2400597
164,46561,10,4,Accounts,Sales Manager,Analytics,L,Software Developer,PG,Engineering,Mumbai,2002.0,Engineering,Mumbai,2004.0,Engineering,Kolkata,2010.0,Lucknow,Kolkata,1706558,N,D,3,6,1,0,2041043
166,38468,22,6,Others,CEO,Others,O,Product Manager,PG,Botony,Mumbai,1991.0,Botony,Mumbai,1993.0,Botony,Delhi,1998.0,Nagpur,Ahmedabad,3460895,Y,Key_Performer,4,4,0,1,4568381
167,16706,25,3,Others,Head,Automobile,F,Consultant,Doctorate,Engineering,Delhi,1987.0,Engineering,Delhi,1989.0,Engineering,Nagpur,1995.0,Surat,Lucknow,3488390,N,D,2,5,0,1,4332580
168,58640,19,11,IT-Software,Head,FMCG,P,Director,Grad,Mathematics,Mangalore,1995.0,Mathematics,Mangalore,1997.0,Mathematics,Jaipur,2001.0,Guwahati,Nagpur,2467345,Y,Key_Performer,6,5,0,1,3158201
169,11502,8,3,HR,Sales Manager,Automobile,P,Software Developer,Doctorate,Chemistry,Mangalore,2006.0,Chemistry,Mangalore,2008.0,Chemistry,Surat,2012.0,Mangalore,Mangalore,1567046,N,D,5,5,0,0,1946271
170,27150,14,6,Top Management,CEO,Insurance,L,Research Analyst,Grad,Arts,Kolkata,2000.0,Others,Kolkata,2002.0,Zoology,Pune,2006.0,Guwahati,Delhi,1922908,N,B,5,8,1,1,2403635
173,12389,14,14,Banking,Bio statistician,Telecom,G,CA,PG,Engineering,Mangalore,1998.0,Engineering,Mangalore,2000.0,Engineering,Ahmedabad,2006.0,Surat,Guwahati,2322287,Y,A,2,6,1,0,3065418
175,50186,21,0,Engineering,Sales Execituve,Analytics,K,Product Manager,Doctorate,Zoology,Bangalore,1990.0,Zoology,Bangalore,1992.0,Others,Mangalore,1999.0,Mumbai,Lucknow,3245903,N,B,2,5,0,0,4381969
176,58897,1,0,Sales,Sales Execituve,Automobile,I,Medical Officer,PG,Arts,Bhubaneswar,2013.0,Arts,Bhubaneswar,2015.0,Others,Delhi,2019.0,Guwahati,Guwahati,418946,Y,B,3,5,0,0,553008
178,17325,14,6,Banking,Sales Execituve,Others,L,CA,Doctorate,Engineering,Pune,1997.0,Engineering,Pune,1999.0,Engineering,Surat,2006.0,Mangalore,Mumbai,1818660,N,D,2,7,0,0,2258775
179,54833,9,2,Top Management,Project Manager,IT,P,Manager,PG,Arts,Pune,2004.0,Arts,Pune,2006.0,Others,Jaipur,2011.0,Jaipur,Surat,932599,N,A,2,8,0,0,1212378
180,48953,22,12,Marketing,Head,IT,O,Sr.Manager,PG,Botony,Delhi,1991.0,Botony,Delhi,1993.0,Botony,Bangalore,1998.0,Delhi,Pune,2773534,N,B,6,8,0,1,3605594
181,36797,7,0,Others,Sales Execituve,Others,N,Web Designer,Doctorate,Mathematics,Jaipur,2006.0,Mathematics,Jaipur,2008.0,Mathematics,Nagpur,2013.0,Chennai,Lucknow,2086320,N,B,1,7,0,0,2816532
190,11932,20,5,HR,Project Manager,Automobile,L,Research Analyst,Doctorate,Economics,Bhubaneswar,1993.0,Others,Bhubaneswar,1995.0,Chemistry,Bangalore,2000.0,Mangalore,Nagpur,2536267,N,D,4,4,0,0,3150043
193,11502,24,21,Marketing,Others,Others,E,Manager,Grad,Economics,Bangalore,1988.0,Economics,Bangalore,1990.0,Economics,Bhubaneswar,1996.0,Bangalore,Delhi,2422592,N,A,4,4,0,0,3028240
194,43648,19,7,Healthcare,Bio statistician,Aviation,H,Sr.Manager,PG,Statistics,Jaipur,1992.0,Statistics,Jaipur,1994.0,Statistics,Mumbai,2001.0,Kanpur,Chennai,2430067,N,B,5,7,0,0,3159087
195,45551,14,8,Engineering,Head,Training,E,Director,PG,Others,Jaipur,2000.0,Chemistry,Jaipur,2002.0,Mathematics,Lucknow,2006.0,Nagpur,Bhubaneswar,1609054,N,B,6,3,0,1,2091770
196,24612,21,20,Education,Team Lead,Retail,O,Research Analyst,Grad,Economics,Kolkata,1993.0,Economics,Kolkata,1995.0,Economics,Mumbai,1999.0,Jaipur,Guwahati,1761172,N,B,4,8,4,0,2201465
201,34926,22,6,HR,CEO,Insurance,F,Marketing Manager,Doctorate,Arts,Guwahati,1992.0,Arts,Guwahati,1994.0,Arts,Bhubaneswar,1998.0,Chennai,Guwahati,2651096,N,B,6,3,0,0,3578979
206,44969,22,10,Others,Financial Analyst,Others,C,Assistant Manager,Doctorate,Engineering,Mumbai,1991.0,Engineering,Mumbai,1993.0,Engineering,Pune,1998.0,Ahmedabad,Lucknow,2997648,Y,C,5,3,0,0,3860970
208,15626,10,7,Top Management,Senior Analyst,Telecom,J,Marketing Manager,Grad,Statistics,Mumbai,2004.0,Statistics,Mumbai,2006.0,Statistics,Bangalore,2010.0,Nagpur,Delhi,1843693,Y,Key_Performer,4,6,0,0,2359927
209,59459,25,4,Top Management,Bio statistician,Analytics,G,Assistant Manager,Doctorate,Engineering,Bhubaneswar,1989.0,Others,Bhubaneswar,1991.0,Engineering,Delhi,1995.0,Pune,Pune,2788370,N,A,6,3,0,0,3764299
210,26156,17,3,Top Management,Others,Insurance,H,Research Analyst,Grad,Psychology,Delhi,1996.0,Psychology,Delhi,1998.0,Psychology,Jaipur,2003.0,Ahmedabad,Bangalore,2216049,N,D,4,3,2,0,2548456
213,24032,20,16,Analytics/BI,Data scientist,Automobile,J,Product Manager,Doctorate,Arts,Bhubaneswar,1994.0,Arts,Bhubaneswar,1996.0,Arts,Nagpur,2000.0,Kanpur,Jaipur,3594026,Y,Key_Performer,6,5,0,1,5031636
215,13191,5,0,HR,Sales Manager,Retail,C,Others,Grad,Engineering,Guwahati,2006.0,Engineering,Guwahati,2008.0,Engineering,Jaipur,2015.0,Delhi,Nagpur,530413,N,D,2,7,0,0,609974
218,13456,3,0,HR,Bio statistician,Automobile,D,Manager,Grad,Sociology,Kolkata,2011.0,Sociology,Kolkata,2013.0,Sociology,Guwahati,2017.0,Kolkata,Bhubaneswar,513294,Y,B,2,6,0,0,657016
219,12392,10,3,Education,Financial Analyst,Retail,M,Research Analyst,Doctorate,Engineering,Surat,2001.0,Engineering,Surat,2003.0,Engineering,Surat,2010.0,Delhi,Bangalore,2112058,Y,A,5,5,0,0,2956881
222,10137,9,2,Engineering,Analyst,Training,E,HR,PG,Psychology,Ahmedabad,2003.0,Psychology,Ahmedabad,2005.0,Psychology,Delhi,2011.0,Lucknow,Pune,1236018,N,C,3,7,1,0,1478277
